error,delta_error,delta_pwm
-7.3032,-2.2422,2628
-7.4132,-1.9614,2637
-7.4132,-0.7846,2577
-7.5032,-1.4628,2576
-7.6932,-3.0106,2850
-7.9732,-4.7787,3006
-8.1732,-3.8470,3047
-8.1732,-1.5388,2972
-7.9732,1.9377,1390
-7.6832,4.4772,984
-7.4832,4.3441,986
-7.3832,2.7054,1218
-7.3732,1.2098,1604
-7.3832,0.3563,2495
-7.3832,0.1425,2602
-7.2832,1.3336,1388
-7.0932,2.3721,1137
-6.9032,3.3744,1084
-6.8132,2.4987,1059
-6.8032,1.1271,1524
-6.7032,1.7275,1012
-6.6032,1.6587,983
-6.5032,1.9401,975
-6.5032,0.7760,1951
-6.5032,0.3104,2142
-6.3032,2.6774,920
-6.1132,2.9097,869
-5.9132,3.7171,815
-5.8132,2.7634,787
-5.7232,2.2543,762
-5.7232,0.9017,1716
-5.6132,1.4252,965
-5.4932,2.1020,704
-5.2556,3.8740,619
-5.2280,1.9019,664
-5.2004,1.1131,1482
-5.2508,-0.0425,1813
-5.3132,-0.8136,1917
-5.2756,0.1546,1767
-5.2380,0.5418,1636
-5.1004,1.9733,617
-5.0508,1.2693,1201
-4.9232,2.1367,540
-4.8856,1.3347,1027
-4.8480,1.0139,1373
-4.8004,1.0132,1353
-4.7408,0.9821,1339
-4.7032,0.8728,1364
-4.6656,0.8291,1365
-4.6280,0.8117,1356
-4.6004,0.6770,1391
-4.6608,-0.3137,1624
-4.6232,0.3545,1495
-4.4656,2.1537,333
-4.1980,4.2777,-52
-4.0404,3.7230,31
-3.9908,1.9692,0
-3.9632,1.1400,812
-3.9356,0.8083,1088
-3.8980,0.8033,1091
-3.9604,-0.4753,1400
-4.0233,-0.7987,1411
-3.8233,2.2337,0
-3.5033,4.9786,-572
-3.2833,4.7999,-488
-3.2833,1.9200,0
-3.2833,0.7680,1110
-3.2833,0.3072,1298
-3.3833,-1.1537,1400
-3.4933,-1.8657,1400
-3.5033,-0.8740,1400
-3.5033,-0.3496,1400
-3.5033,-0.1398,1400
-3.4933,0.0717,1376
-3.4933,0.0287,1390
-3.4933,0.0115,1396
-3.4933,0.0046,1398
-3.4933,0.0018,1399
