error,delta_error,delta_pwm
3.7830,1.2682,-1400
3.8930,1.9115,-1400
4.0030,2.1689,-1401
4.0030,0.8675,-1402
3.7730,-2.6530,0
3.5530,-3.8697,0
3.3330,-4.3564,248
3.3330,-1.7426,0
3.4530,0.8349,-1400
3.5630,1.3985,-1400
3.6730,1.9636,-1400
3.6730,0.7855,-1400
3.3430,-3.8986,0
3.0130,-5.7722,911
2.6730,-5.5992,839
2.6630,-2.3673,0
2.6630,-0.9469,-999
2.7830,1.1531,-1400
2.8930,1.8655,-1400
3.2230,3.9398,-1400
3.3430,3.1078,-1400
3.4530,2.6474,-1400
3.3430,-0.3453,-1285
3.3430,-0.1381,-1353
3.3430,-0.0552,-1381
3.2230,-1.5540,0
3.1030,-2.1535,0
2.9930,-2.2657,0
2.9830,-1.0015,-957
2.9930,-0.2702,-1307
3.0030,0.0196,-1400
3.0030,0.0078,-1400
3.0030,0.0031,-1400
3.0030,0.0013,-1400
3.1130,1.4353,-1400
3.2230,1.9784,-1400
3.2954,1.7156,-1400
3.2578,0.2062,-1400
3.2343,-0.2186,-1326
3.2343,-0.0875,-1370
3.4543,2.7735,-1400
3.6843,4.0456,-1416
3.9143,4.5544,-1599
3.9143,1.8218,-1400
3.7943,-0.4326,-1254
3.6843,-1.5773,0
3.5743,-2.0352,0
3.5743,-0.8141,-1085
3.5743,-0.3256,-1291
3.5743,-0.1303,-1356
3.5743,-0.0521,-1382
3.5743,-0.0208,-1393
3.5743,-0.0083,-1397
3.4643,-1.0510,-913
3.3443,-1.9856,0
3.2343,-2.1985,0
3.2343,-0.8794,-1045
3.1143,-1.8837,0
3.1143,-0.7535,-1117
3.1143,-0.3014,-1299
3.1243,0.0071,-1400
3.0143,-1.4014,-320
2.9043,-1.9648,0
2.9043,-0.7859,-1100
2.9043,-0.3144,-1292
2.9043,-0.1257,-1355
2.9043,-0.0503,-1382
3.0143,1.3841,-1400
3.1243,1.9579,-1400
3.2343,1.8477,-1400
3.2343,0.7391,-1400
3.2343,0.2956,-1400
3.2343,0.1183,-1400
3.2343,0.0473,-1400
3.2343,0.0189,-1400
3.2343,0.0076,-1400
3.2343,0.0030,-1400
3.1143,-1.5307,0
2.8943,-3.4208,0
2.6743,-3.4973,0
2.4443,-4.3351,257
2.3343,-3.1383,0
1.9943,-5.5957,837
1.5543,-7.8553,1400
1.1043,-7.4970,1400
0.8743,-5.9350,1068
0.6443,-5.3102,1174
0.4243,-4.9326,1261
0.0743,-6.4411,1371
-0.1457,-4.7055,1470
-0.3657,-4.6907,1570
-0.4757,-3.2805,1400
-0.4757,-1.3122,1186
-0.4757,-0.5249,461
-0.3657,1.2248,-662
-0.0357,4.7027,-1388
0.3043,6.2215,-1579
0.7643,8.3609,-1743
0.9943,6.2805,-1896
1.3343,5.8025,-2121
1.4443,3.7253,-1400
1.5543,2.8944,-1400
1.7743,3.9663,-1400
1.9943,4.3950,-1573
2.2243,3.9838,-1400
2.3343,2.9978,-1400
2.4443,2.6034,-1400
2.6743,3.9775,-1400
2.7943,2.7339,-1400
2.7943,1.0935,-1400
3.1243,4.6502,-1634
3.4543,6.0728,-2309
3.7943,6.7696,-2817
3.5643,0.5173,-1400
3.3543,-2.5322,0
3.2343,-2.5448,0
3.2343,-1.0179,-943
3.2343,-0.4072,-1263
3.2343,-0.1629,-1344
3.2343,-0.0651,-1377
3.3443,1.3782,-1400
3.4643,2.0832,-1400
3.5743,2.2375,-1400
3.5743,0.8950,-1400
3.5743,0.3580,-1400
3.6843,1.5475,-1400
3.7943,2.0232,-1400
3.9043,2.2136,-1400
3.7943,-0.5188,-1221
3.6743,-1.3688,-405
3.5643,-1.9518,0
3.4443,-2.3126,0
3.3443,-2.2016,0
3.2343,-2.2849,0
3.2343,-0.9140,-1022
3.2343,-0.3656,-1278
3.2343,-0.1462,-1350
3.2443,0.0692,-1400
3.2443,0.0277,-1400
3.2443,0.0111,-1400
3.2443,0.0044,-1400
3.2443,0.0018,-1400
3.2443,0.0007,-1400
3.3543,1.4045,-1400
3.4543,1.5296,-1400
3.5543,1.8884,-1400
3.5543,0.7554,-1400
3.4543,-0.9744,-978
3.2343,-3.1983,0
3.0043,-3.5051,0
2.7843,-4.2106,162
2.6743,-3.0885,0
2.5643,-2.6396,0
2.5643,-1.0559,-908
2.5643,-0.4223,-1250
2.5643,-0.1689,-1337
2.5643,-0.0676,-1374
2.5643,-0.0270,-1390
2.2243,-3.2489,0
1.8843,-5.7343,895
1.5543,-6.5065,1169
1.5543,-2.6026,727
1.6643,0.3632,-1144
1.7843,1.6772,-1400
2.1143,3.8644,-1400
2.2243,2.9500,-1400
2.3243,2.4566,-1400
2.2243,-0.2940,-1284
2.2243,-0.1176,-1352
2.2243,-0.0470,-1380
2.4443,2.7897,-1400
2.6643,3.9244,-1400
2.8943,4.5059,-1581
2.9043,1.9300,-1400
2.9043,0.7720,-1400
2.9043,0.3088,-1400
2.9043,0.1235,-1400
2.9043,0.0494,-1400
3.1243,2.8283,-1400
3.3543,3.3571,-1400
3.5743,4.1514,-1454
3.4643,0.2563,-1400
3.3443,-1.4294,-240
3.2343,-1.9760,0
3.3543,0.3709,-1400
3.4743,1.6803,-1400
3.5943,2.2040,-1400
3.5943,0.8816,-1400
3.5843,0.2250,-1400
3.5843,0.0900,-1400
3.5743,-0.0917,-1369
3.5743,-0.0367,-1388
3.5743,-0.0147,-1395
3.7943,2.8026,-1400
4.0243,3.3469,-1408
4.2443,4.1473,-1486
4.1343,0.2546,-1447
4.0243,-1.3024,-573
3.9143,-1.9252,0
3.9143,-0.7701,-1109
4.0243,1.0962,-1416
4.1443,1.9704,-1461
4.2543,2.1924,-1500
4.2543,0.8770,-1528
4.2443,0.2540,-1485
4.2443,0.1016,-1483
4.2443,0.0406,-1483
4.2443,0.0163,-1483
4.2443,0.0065,-1483
4.2443,0.0026,-1483
4.2443,0.0010,-1483
4.2443,0.0004,-1483
4.2443,0.0002,-1483
4.2443,0.0001,-1483
4.2543,0.0968,-1487
4.2543,0.0387,-1487
4.3743,1.5474,-1577
4.4743,1.8956,-1595
4.5843,2.1625,-1621
4.5843,0.8650,-1674
4.2543,-3.8668,-177
3.9143,-5.8871,957
3.5743,-6.6953,1278
3.9143,1.6623,-1400
4.2543,3.9552,-1488
4.5843,5.7949,-2144
4.5843,2.3179,-1614
4.5843,0.9272,-1692
4.4743,-1.0334,-1188
4.3543,-1.5746,-317
4.2443,-2.0341,-201
4.2543,-0.6860,-1255
4.2543,-0.2744,-1397
4.5943,4.2307,-1603
4.9243,4.8858,-1737
5.2543,6.1671,-2370
5.1819,1.5426,-1886
5.1095,-0.3072,-1662
5.0371,-1.0471,-1443
5.0867,0.0611,-1759
5.1243,0.5045,-1783
5.1719,0.8094,-1871
5.2095,0.8038,-1881
5.2599,0.8015,-1896
5.2867,0.6702,-1863
5.3143,0.6204,-1859
5.3519,0.7282,-1899
5.1795,-1.9096,-649
4.9971,-3.0923,-528
4.9367,-1.8215,-582
4.9743,-0.2486,-1638
5.0119,0.3806,-1734
4.9395,-0.7720,-1485
4.9899,0.1712,-1727
4.9067,-1.0167,-1398
4.8343,-1.3310,-1024
4.7519,-1.5843,-543
4.6695,-1.6856,-488
4.4999,-2.2895,-343
4.3167,-3.3054,-213
4.2343,-2.3741,-180
4.2719,-0.4696,-1340
4.3095,0.2922,-1508
4.4571,2.0011,-1583
4.6167,2.3450,-1623
4.7643,2.8222,-1654
4.8119,1.7366,-1733
4.8495,1.1746,-1836
4.8871,0.9498,-1828
4.5967,-2.4304,-383
4.3043,-4.7049,220
4.0019,-5.7424,897
4.0395,-1.8170,-39
4.0771,-0.2468,-1345
3.9575,-1.2553,-640
3.8475,-1.9064,0
3.7375,-2.1668,0
3.7375,-0.8667,-1053
3.7375,-0.3467,-1284
3.7375,-0.1387,-1354
3.8475,1.3488,-1400
3.8475,0.5395,-1400
3.8475,0.2158,-1400
3.7375,-0.9613,-988
3.7375,-0.3845,-1271
3.7375,-0.1538,-1349
3.7375,-0.0615,-1379
3.7375,-0.0246,-1392
3.7375,-0.0098,-1397
3.7375,-0.0039,-1399
3.7375,-0.0016,-1399
3.7375,-0.0006,-1400
3.7375,-0.0003,-1400
3.7375,-0.0001,-1400
3.7375,-0.0000,-1400
3.7375,-0.0000,-1400
3.7375,-0.0000,-1400
3.7475,0.1277,-1400
3.7475,0.0511,-1400
3.7375,-0.0763,-1374
3.6175,-1.5625,0
3.3975,-3.4335,0
3.1775,-4.1819,135
2.9475,-3.8632,0
2.7175,-4.5453,361
2.4975,-4.6266,414
2.2675,-4.7868,503
2.2675,-1.9147,0
2.2675,-0.7659,-1111
2.3775,0.7582,-1400
2.2675,-1.1010,-859
2.1575,-1.8447,0
2.0575,-2.0145,0
2.0575,-0.8058,-1089
2.0575,-0.3223,-1268
2.0575,-0.1289,-1345
1.9375,-1.5835,157
1.8275,-2.0376,366
1.7075,-1.9579,549
1.7075,-0.7832,-537
1.7075,-0.3133,-774
1.5875,-1.6572,692
1.3575,-3.5991,893
1.1275,-3.6301,1025
0.9175,-4.1912,1116
0.7075,-4.3573,1190
0.4875,-4.5514,1255
0.3875,-3.0972,1288
0.3775,-1.3341,745
0.3675,-0.6641,242
0.3675,-0.2656,-44
0.3675,-0.1063,-186
0.4775,1.3618,-1241
0.5875,1.9490,-1400
0.8075,2.9086,-1400
1.1475,5.5039,-1973
1.4775,6.4143,-2261
1.8175,6.9062,-2690
2.0375,5.5710,-2026
2.2675,4.4542,-1583
2.3875,3.3136,-1400
2.3975,1.4531,-1400
2.3975,0.5812,-1400
2.5075,1.6368,-1400
2.7275,2.7837,-1400
2.9475,3.9220,-1400
3.1775,4.5050,-1581
3.3875,4.4828,-1573
3.5075,2.9360,-1400
3.5075,1.1744,-1400
3.5075,0.4698,-1400
3.6175,1.5922,-1400
3.7275,2.0411,-1400
3.8475,1.9593,-1400
4.0775,3.7837,-1427
4.2975,4.3220,-1514
4.5175,4.5373,-1592
4.7475,4.7511,-1672
4.9775,4.8366,-1750
5.0775,2.9024,-1756
5.0775,1.1610,-1930
5.1875,1.8686,-1842
5.4175,3.6836,-1869
5.7575,5.8139,-2155
5.9875,4.5514,-2069
6.2175,4.7567,-2155
6.3275,3.3069,-2199
6.4275,2.5994,-2239
6.4375,1.1674,-2121
6.4375,0.4670,-2243
6.3275,-1.2175,-1348
6.2075,-2.0189,-894
6.0875,-2.3395,-862
6.0875,-0.9358,-1759
6.1975,0.6902,-2148
6.3075,1.6803,-2191
6.4275,2.2040,-2239
6.4375,1.0093,-2119
6.3275,-1.0005,-1686
6.2175,-1.4647,-953
6.0975,-2.1178,-865
6.0975,-0.8471,-1825
6.0975,-0.3388,-1981
6.1075,-0.0079,-2110
6.1075,-0.0032,-2112
5.9975,-1.4055,-1044
5.8775,-2.0941,-805
5.6475,-3.7738,-740
5.5375,-2.9138,-708
5.3175,-3.2945,-639
5.0875,-4.2540,-390
4.8575,-4.6378,-99
4.5175,-6.1955,675
3.9575,-7.8115,1400
3.2875,-11.8637,1400
2.7175,-12.0221,1400
2.3875,-9.0216,1400
2.1575,-6.5448,1218
1.9375,-5.4264,766
1.7075,-4.3964,549
1.2675,-7.3756,1400
0.9275,-7.2907,1400
0.7075,-5.7248,1109
0.6975,-2.4176,1194
0.6975,-0.9670,214
0.6975,-0.3868,-149
0.6975,-0.1547,-346
1.0275,4.1509,-1470
1.3575,5.8731,-2142
1.6875,5.5428,-2012
1.2575,-3.2722,956
1.2575,-1.3089,489
0.8275,-6.0129,1090
0.8275,-2.4052,1149
0.3875,-6.7012,1280
0.5975,0.0004,-447
0.8075,2.6810,-1400
1.1275,5.1575,-1880
1.3575,4.2535,-1548
1.6875,6.0057,-2268
1.9275,5.4661,-1975
2.1575,5.1226,-1821
2.3875,4.9852,-1764
2.6075,4.8026,-1692
2.7175,2.9856,-1400
2.8275,2.5985,-1400
3.1675,5.3798,-1934
3.5075,6.4924,-2598
3.7375,4.7874,-1686
3.3975,-2.5198,0
3.0575,-5.3484,734
2.7175,-6.4798,1193
2.8275,-1.1877,-747
2.9375,0.9292,-1400
3.0475,1.4362,-1400
2.8275,-2.2340,0
2.4599,-5.5864,833
1.9723,-8.4592,1400
1.6919,-6.0542,1024
1.3151,-7.3365,1400
1.0475,-6.3508,1142
0.6799,-7.2331,1400
0.5323,-4.7775,1235
0.3847,-3.7952,1289
0.3351,-1.9981,1286
0.2975,-1.2792,779
0.2599,-0.9917,570
0.1123,-2.2809,1363
-0.0481,-2.4400,1400
-0.4049,-5.6299,1653
-0.6525,-5.4128,1752
-0.9001,-5.3260,1847
-0.9377,-2.6104,1400
-0.9881,-1.5242,1400
-1.0249,-1.0897,953
-0.8525,1.7650,-1122
-0.6801,2.9068,-1199
-0.5077,3.3636,-1253
-0.5581,0.8654,-241
-0.5949,-0.1338,446
-0.5225,0.8707,-268
-0.4401,1.4002,-880
-0.2677,2.7609,-1321
-0.1853,2.1563,-1338
-0.0149,2.5115,-1395
0.3975,6.2693,-1626
0.7999,7.6447,-1762
1.3223,9.7268,-2111
1.5147,6.3469,-2301
1.6851,4.1878,-1495
1.6475,1.1951,-1097
1.6099,-0.0020,-1101
1.6823,0.9235,-1143
1.7519,1.0322,-1159
1.9451,2.9329,-1400
2.0275,2.2251,-1400
2.0999,1.8143,-1400
2.1623,1.5223,-1400
2.2447,1.6608,-1400
2.4151,2.3134,-1400
2.4975,1.9773,-1400
2.5599,1.5875,-1400
2.5223,0.1550,-1400
2.5312,0.1468,-1400
2.7612,3.0587,-1400
2.9912,4.1597,-1458
3.2112,4.4724,-1569
3.1012,0.3847,-1400
2.9812,-1.3780,-382
2.8712,-1.6157,0
2.8712,-0.6463,-1169
3.0912,2.5500,-1400
3.3112,3.8285,-1400
3.4312,2.6743,-1400
3.3212,-0.3651,-1278
3.2112,-1.5503,0
3.2112,-0.6201,-1180
3.2112,-0.2480,-1317
3.2112,-0.0992,-1366
3.2112,-0.0397,-1386
3.2112,-0.0159,-1394
3.2112,-0.0063,-1398
3.2112,-0.0025,-1399
3.2112,-0.0010,-1400
3.2112,-0.0004,-1400
3.2112,-0.0002,-1400
3.2112,-0.0001,-1400
3.2112,-0.0000,-1400
3.2212,0.1276,-1400
3.2212,0.0511,-1400
3.2212,0.0204,-1400
3.1012,-1.5237,0
2.9912,-2.0138,0
2.8812,-2.2098,0
2.8812,-0.8839,-1042
2.7612,-1.8855,0
2.6412,-2.2861,0
2.4212,-3.7230,0
2.4212,-1.4892,-41
2.4212,-0.5957,-1190
2.5212,1.0383,-1400
2.3012,-2.3932,0
2.1912,-2.3615,0
2.0712,-2.0875,0
2.1812,0.5998,-1400
2.1812,0.2399,-1400
2.1812,0.0960,-1400
2.1812,0.0384,-1400
2.0712,-1.0323,-930
1.9612,-1.8477,96
1.8612,-2.0157,306
1.8612,-0.8063,-808
1.8612,-0.3225,-929
2.1912,4.0838,-1436
2.5312,4.9238,-1740
2.8712,6.3100,-2466
2.7512,0.9921,-1400
2.6412,-1.0074,-952
2.5212,-1.9349,0
2.5212,-0.7740,-1107
2.5212,-0.3096,-1286
2.5212,-0.1238,-1353
2.8612,4.2909,-1507
3.2012,4.9545,-1752
3.5412,6.4166,-2542
3.0912,-3.1781,0
2.7612,-5.4840,791
2.3112,-7.9383,1400
2.3112,-3.1753,0
2.3112,-1.2701,-613
2.5312,2.3005,-1400
2.7512,3.7287,-1400
2.8612,2.8957,-1400
2.8712,1.2535,-1400
2.8712,0.5014,-1400
2.7512,-1.3313,-491
2.6412,-1.9368,0
2.5212,-2.3066,0
2.3012,-3.0179,0
2.0812,-4.0767,74
1.8612,-4.4392,368
1.8712,-1.6480,287
1.8712,-0.6592,-863
1.8712,-0.2637,-969
1.8712,-0.1055,-1140
1.8612,-0.1698,-1045
1.8612,-0.0679,-1187
1.8612,-0.0272,-1249
1.8612,-0.0109,-1275
1.8612,-0.0043,-1285
1.8612,-0.0017,-1289
1.8612,-0.0007,-1291
1.8612,-0.0003,-1291
1.8612,-0.0001,-1292
1.9712,1.4347,-1374
2.0812,1.9782,-1400
2.2012,2.3232,-1400
1.9712,-2.0069,72
1.7412,-3.7389,502
1.5112,-3.7214,768
1.5112,-1.4886,731
1.5212,-0.4678,-517
1.5212,-0.1871,-799
1.5312,0.0528,-1048
1.5312,0.0211,-1048
1.5312,0.0085,-1048
1.5312,0.0034,-1048
1.6412,1.4056,-1291
1.7512,1.6099,-1400
1.8612,2.0787,-1400
1.8612,0.8315,-1289
1.9812,1.8645,-1400
2.2012,3.5543,-1400
2.5412,5.7622,-2126
2.7512,4.3371,-1525
2.8712,3.2668,-1400
2.8712,1.3067,-1400
2.8712,0.5227,-1400
2.8712,0.2091,-1400
2.8712,0.0836,-1400
2.8712,0.0335,-1400
2.7612,-1.3909,-349
2.6412,-2.0883,0
2.5312,-2.2396,0
2.5312,-0.8958,-1035
2.5312,-0.3583,-1270
2.4212,-1.5476,0
2.3112,-2.0233,0
2.2012,-1.8569,0
2.3212,0.8224,-1400
2.5412,3.1375,-1400
2.8812,5.5954,-2038
3.1012,5.0467,-1789
3.3212,4.1139,-1440
3.4412,3.2108,-1400
3.5512,2.6886,-1400
3.6612,2.4797,-1400
3.7712,2.3961,-1400
3.8912,2.4904,-1400
4.0012,2.0607,-1401
4.1012,2.1009,-1441
4.2112,2.2446,-1482
4.3312,2.4298,-1522
4.4512,2.1148,-1575
4.6712,3.7155,-1624
4.7812,2.8904,-1659
4.7812,1.1562,-1812
4.6712,-0.9418,-1325
4.6712,-0.3767,-1504
4.7812,1.2841,-1785
4.8912,1.9179,-1742
4.8912,0.7672,-1764
4.8912,0.3069,-1695
4.8912,0.1227,-1695
4.8912,0.0491,-1695
4.7812,-1.3846,-877
4.6088,-2.7547,-373
4.4264,-3.4304,-275
4.1368,-4.1303,-5
3.9436,-4.1721,128
3.7412,-4.2527,182
3.6688,-2.6253,0
3.5964,-1.9744,0
3.4268,-2.4050,0
3.2436,-3.3516,0
3.0512,-3.7968,0
2.7488,-5.3791,747
2.5664,-4.4802,335
2.3968,-3.4073,0
2.3136,-2.4481,0
2.0112,-4.8397,553
1.7088,-5.7963,921
1.5164,-4.7747,763
1.5540,-1.4299,515
1.5929,-0.1960,-834
1.5929,-0.0784,-982
1.5929,-0.0314,-1047
1.5929,-0.0125,-1073
1.5929,-0.0050,-1084
1.5929,-0.0020,-1089
1.6029,0.1269,-1099
2.0529,5.7954,-2144
2.5029,8.0629,-3024
2.9529,8.9698,-3039
2.8329,2.4266,-1400
2.7229,-0.4336,-1251
2.6129,-1.5777,0
2.6129,-0.6311,-1175
2.4929,-1.7843,0
2.3829,-1.7783,0
2.2729,-2.1156,0
2.2729,-0.8462,-1066
2.2729,-0.3385,-1270
2.2829,-0.0402,-1384
2.2729,-0.1465,-1341
2.1629,-1.4629,-134
1.9429,-3.3937,138
1.7229,-4.1660,528
1.7229,-1.6664,528
1.8329,0.7682,-1270
2.0529,3.1158,-1400
2.2729,4.0548,-1423
2.4929,4.4304,-1565
2.6129,2.9150,-1400
2.6129,1.1660,-1400
2.6129,0.4664,-1400
2.8329,2.9951,-1400
3.0529,4.0065,-1402
3.2829,3.7931,-1400
3.2929,1.6477,-1400
3.4029,2.0633,-1400
3.5129,2.2296,-1400
3.6229,2.2961,-1400
3.6229,0.9184,-1400
3.6229,0.3674,-1400
3.6229,0.1469,-1400
3.6229,0.0588,-1400
3.5029,-1.5084,0
3.3929,-2.0076,0
3.2829,-1.8676,0
3.2829,-0.7470,-1121
3.2829,-0.2988,-1300
3.5129,2.8166,-1400
3.7429,3.3171,-1400
4.0729,5.6312,-2056
4.1829,3.6567,-1463
4.4029,4.2712,-1541
4.5229,3.2404,-1575
4.6329,2.3438,-1629
4.6329,0.9375,-1717
4.6329,0.3750,-1619
4.6329,0.1500,-1611
4.6429,0.1877,-1614
4.6429,0.0751,-1614
4.6529,0.1605,-1618
4.4229,-2.8720,-278
4.2029,-3.9573,-146
3.9729,-4.5191,342
3.9729,-1.8076,0
3.9629,-0.8535,-1061
3.9629,-0.3414,-1286
3.7429,-2.9451,0
3.5129,-4.1142,87
3.1729,-5.9861,997
3.0529,-3.5557,0
2.9429,-2.8265,0
2.9429,-1.1306,-823
2.9429,-0.4522,-1247
2.6129,-3.3238,0
2.2729,-5.7643,908
1.9429,-6.5185,1204
1.9429,-2.6074,138
1.9429,-1.0430,-781
1.9429,-0.4172,-1089
2.0529,1.2679,-1400
1.9329,-1.0248,-776
1.8229,-1.8142,374
1.5929,-3.6618,687
1.5929,-1.4647,574
1.5929,-0.5859,-458
1.5929,-0.2344,-790
1.5929,-0.0937,-961
1.8229,2.8987,-1400
2.0429,3.2547,-1400
2.2629,4.1714,-1472
2.2629,1.6686,-1400
2.2629,0.6674,-1400
2.3829,1.7989,-1400
2.5029,1.8624,-1400
2.7329,3.7450,-1400
2.8429,2.9022,-1400
3.0629,3.9694,-1400
3.1829,3.1197,-1400
3.2929,2.6521,-1400
3.2929,1.0609,-1400
3.2929,0.4243,-1400
3.2929,0.1697,-1400
3.2929,0.0679,-1400
3.2929,0.0272,-1400
3.2929,0.0109,-1400
3.4029,1.4086,-1400
3.5129,1.9677,-1400
3.6229,2.1913,-1400
3.6229,0.8765,-1400
3.2829,-4.0842,65
2.9429,-5.9741,992
2.6129,-6.6024,1241
2.6129,-2.6410,0
2.6129,-1.0564,-907
2.6129,-0.4226,-1251
2.6129,-0.1690,-1337
2.6229,0.0601,-1400
2.8529,2.9602,-1400
3.0729,3.2793,-1400
3.2929,4.1813,-1464
3.2929,1.6725,-1400
3.2929,0.6690,-1400
3.5129,3.0761,-1400
3.7429,3.4209,-1400
3.9629,4.2379,-1484
3.9629,1.6952,-1400
3.7429,-2.1304,0
3.5129,-3.7883,0
3.1729,-5.8558,945
3.0529,-3.5036,0
2.9429,-2.8057,0
2.8329,-2.5265,0
2.7129,-2.5425,0
2.4929,-3.8255,0
2.3829,-2.5947,0
2.2729,-2.4421,0
2.2729,-0.9769,-976
2.2729,-0.3907,-1251
2.3829,1.2480,-1400
2.6129,2.7250,-1400
2.8329,3.8985,-1400
2.9529,3.0913,-1400
2.9529,1.2365,-1400
2.9529,0.4946,-1400
3.0629,1.6326,-1400
3.1729,2.0573,-1400
3.3829,3.5038,-1400
3.3829,1.4015,-1400
3.7229,3.7987,-1400
3.9529,4.5195,-1586
4.1829,4.7440,-1670
3.9529,-1.0386,-924
3.7429,-3.0963,0
3.6329,-2.6428,0
3.6329,-1.0571,-906
3.6329,-0.4228,-1257
3.6329,-0.1691,-1344
3.7429,1.3366,-1400
3.8529,1.9389,-1400
3.9629,1.8401,-1400
3.9629,0.7360,-1400
3.9529,0.1668,-1400
3.9529,0.0667,-1400
3.9529,0.0267,-1400
4.0629,1.0752,-1441
4.1829,1.9620,-1477
4.3029,2.3167,-1515
4.3029,0.9267,-1560
4.1829,-0.7722,-1188
4.0729,-1.7437,-73
3.9629,-2.1017,0
4.3029,3.4997,-1503
4.6429,5.7403,-2114
4.9729,6.5089,-2611
4.9729,2.6036,-1723
4.9729,1.0414,-1914
4.8629,-0.9877,-1389
4.7529,-1.7993,-511
4.6429,-2.1240,-426
4.6329,-0.9464,-1306
4.6329,-0.3785,-1491
4.9005,3.2648,-1698
5.1681,4.7221,-1798
5.4357,5.3050,-1938
5.4853,2.6020,-1891
5.5229,1.5208,-1993
5.5605,1.0883,-2113
5.5981,0.9153,-2048
5.6485,0.8461,-2027
5.4553,-2.1815,-687
5.2729,-3.2011,-625
5.0805,-3.7366,-559
5.1181,-1.0146,-1486
5.1457,-0.0535,-1759
5.1953,0.4586,-1796
5.2329,0.6634,-1846
5.2705,0.7454,-1880
5.3181,0.9058,-1959
5.4685,1.7947,-1933
5.6253,2.7631,-1939
5.7729,2.9895,-1991
5.8105,1.6758,-2041
5.8481,1.1503,-2119
5.8857,0.9401,-2134
5.9353,0.8561,-2104
5.8629,-0.5818,-1817
5.7805,-1.2846,-1235
5.7081,-1.4381,-954
5.7457,-0.0952,-1946
5.7953,0.4419,-1999
6.0629,3.5929,-2097
6.3205,4.7257,-2196
6.5781,5.1788,-2302
6.6285,2.5515,-2324
6.6653,1.5006,-2239
6.7129,1.2079,-2150
6.7605,1.0908,-2115
6.7881,0.7887,-2322
6.7157,-0.6088,-2109
6.6553,-0.8280,-1914
6.5829,-1.2555,-1290
6.6205,-0.0222,-2310
6.5381,-1.0608,-1605
6.2585,-3.0872,-908
5.9553,-5.1897,-217
5.7629,-4.5320,-446
5.7677,-1.7514,-803
5.5377,-3.6367,-708
5.1977,-5.7951,197
4.8577,-5.6084,283
4.6377,-5.0519,184
4.4177,-4.8293,209
4.0777,-6.2721,1039
3.7377,-5.7469,900
3.5177,-5.1683,656
3.2977,-4.8758,524
3.1777,-3.4823,0
2.9577,-4.2014,152
2.8377,-3.2125,0
2.6177,-3.4140,0
2.3877,-4.3018,238
2.1477,-4.7845,515
1.9177,-4.8500,570
1.8077,-3.3443,400
1.5877,-3.4667,692
1.4777,-2.7909,798
1.3777,-2.3930,879
1.3777,-0.9572,-117
1.7177,2.8552,-1400
2.0477,5.4464,-1965
2.3877,6.5190,-2619
2.3877,2.6076,-1400
2.3877,1.0430,-1400
2.0477,-2.8209,0
1.7077,-5.5631,824
1.3777,-6.4380,1121
1.3777,-2.5752,879
1.3777,-1.0301,-32
1.3777,-0.4120,-487
1.3877,-0.0344,-901
1.4877,1.2628,-1133
1.5977,1.9094,-1400
1.7077,2.1680,-1400
1.7077,0.8672,-1174
1.7077,0.3469,-1176
1.7077,0.1388,-1176
1.4877,-2.7530,790
1.2677,-3.9097,950
1.2677,-1.5639,950
1.4877,2.2440,-1400
1.8077,4.9827,-1813
1.9177,3.3973,-1400
2.1477,4.2951,-1525
2.2677,2.8609,-1400
2.3877,2.7096,-1400
2.7177,5.2966,-1896
3.0577,6.4591,-2574
3.3877,6.7964,-2840
3.5077,3.8614,-1400
3.5177,1.6750,-1400
3.6277,2.0743,-1400
3.7377,2.2340,-1400
4.0777,5.2340,-1869
4.2977,4.1888,-1504
4.4177,3.2408,-1541
4.4177,1.2963,-1621
4.4177,0.5185,-1557
4.4177,0.2074,-1542
4.4177,0.0830,-1541
4.4177,0.0332,-1541
4.4177,0.0133,-1541
4.4177,0.0053,-1541
4.5277,1.4064,-1658
4.6377,1.9668,-1651
4.7377,1.7545,-1704
4.5177,-2.1067,-365
4.2977,-3.6512,-202
4.0777,-4.2690,132
4.0677,-1.8028,-66
4.0677,-0.7211,-1163
4.0777,-0.1608,-1374
4.3077,2.8719,-1507
4.5377,4.0849,-1582
4.7577,3.7292,-1652
4.7577,1.4917,-1743
4.7577,0.5967,-1683
4.7477,0.1110,-1648
4.7477,0.0444,-1648
4.5177,-2.1727,-360
4.3077,-3.6082,-208
4.0877,-4.2518,113
4.1877,-0.4241,-1326
4.2977,1.2346,-1567
4.4077,1.5415,-1592
4.4177,0.7470,-1581
4.1877,-2.6374,-142
3.7377,-6.7996,1319
3.2977,-8.3369,1400
3.0777,-5.4300,768
3.0777,-2.1720,0
3.0777,-0.8688,-1052
2.9577,-1.8794,0
2.7277,-3.6879,0
2.4977,-3.6657,0
2.3877,-2.9010,0
2.3877,-1.1604,-785
2.5077,1.0677,-1400
2.7377,3.3633,-1400
3.0677,5.5581,-2019
3.1877,3.3845,-1400
3.2977,2.7581,-1400
3.5177,3.9117,-1400
3.7477,4.5009,-1579
3.9777,3.9908,-1400
3.9777,1.5963,-1400
4.0877,2.0428,-1436
4.3077,3.6256,-1504
4.5177,4.1311,-1576
4.7377,4.4610,-1655
4.7377,1.7844,-1702
4.7377,0.7138,-1697
4.5177,-2.5230,-339
4.2977,-3.8177,-203
4.0677,-4.4633,257
4.0677,-1.7853,-67
